"Quarter","Region","Sex","Age","Employed, % (of population)","Underemployed, % (of employed)","Unemployment rate, % (of labour force)"
"2008Q4","Total","Males and females","55-74",65.7,2.8,2.3
"2008Q4","Total","Males and females","16-64",82.1,4.9,4.1
"2008Q4","Total","Males and females","25-64",86.4,3.4,2.7
"2008Q4","Total","Males","16-74",81.0,3.1,5.1
"2008Q4","Total","Males","16-24",58.9,12.5,13.5
"2008Q4","Total","Males","25-54",90.7,2.0,3.8
"2008Q4","Total","Males","55-74",73.0,0.4,2.9
"2008Q4","Total","Males","16-64",84.3,3.2,5.1
"2008Q4","Total","Males","25-64",90.5,1.7,3.6
"2008Q4","Total","Females","16-74",75.6,6.7,2.8
"2008Q4","Total","Females","16-24",71.0,13.2,8.2
"2008Q4","Total","Females","25-54",83.9,5.2,1.8
"2008Q4","Total","Females","55-74",58.2,5.9,1.4
"2008Q4","Total","Females","16-64",79.8,6.8,2.9
"2008Q4","Total","Females","25-64",81.9,5.5,1.7
"2008Q4","Capital region","Males and females","16-74",79.4,4.1,4.3
"2008Q4","Capital region","Males and females","16-24",67.1,12.4,11.4
"2008Q4","Capital region","Males and females","25-54",87.2,2.7,3.1
"2008Q4","Capital region","Males and females","55-74",68.1,2.5,2.3
"2008Q4","Capital region","Males and females","16-64",82.8,4.2,4.5
"2008Q4","Capital region","Males and females","25-64",86.6,2.7,3.1
"2008Q4","Capital region","Males","16-74",81.8,2.7,5.6
"2008Q4","Capital region","Males","16-24",60.5,12.4,15.5
"2008Q4","Capital region","Males","25-54",90.2,1.5,4.1
"2008Q4","Capital region","Males","55-74",75.5,0.0,3.0
"2008Q4","Capital region","Males","16-64",84.8,2.8,5.7
"2008Q4","Capital region","Males","25-64",90.7,1.2,3.9
"2008Q4","Capital region","Females","16-74",76.7,5.9,2.9
"2008Q4","Capital region","Females","16-24",74.5,12.5,7.3
"2008Q4","Capital region","Females","25-54",83.6,4.1,2.0
"2008Q4","Capital region","Females","55-74",60.4,5.7,1.5
"2008Q4","Capital region","Females","16-64",80.4,6.0,3.0
"2008Q4","Capital region","Females","25-64",81.8,4.6,2.0
"2008Q4","Outside Capital region","Males and females","16-74",76.6,5.9,3.4
"2008Q4","Outside Capital region","Males and females","16-24",60.2,13.8,9.6
"2008Q4","Outside Capital region","Males and females","25-54",88.0,4.9,2.4
"2008Q4","Outside Capital region","Males and females","55-74",61.6,3.5,2.2
"2008Q4","Outside Capital region","Males and females","16-64",80.9,6.1,3.3
"2008Q4","Outside Capital region","Males and females","25-64",85.9,4.8,2.1
"2008Q4","Outside Capital region","Males","16-74",79.5,3.8,4.0
"2008Q4","Outside Capital region","Males","16-24",55.9,12.7,9.2
"2008Q4","Outside Capital region","Males","25-54",91.8,2.9,3.3
"2008Q4","Outside Capital region","Males","55-74",68.8,1.2,2.8
"2008Q4","Outside Capital region","Males","16-64",83.0,4.1,3.9
"2008Q4","Outside Capital region","Males","25-64",90.1,2.7,3.0
"2008Q4","Outside Capital region","Females","16-74",73.8,8.0,2.8
"2008Q4","Outside Capital region","Females","16-24",64.7,14.8,10.0
"2008Q4","Outside Capital region","Females","25-54",84.5,7.0,1.5
"2008Q4","Outside Capital region","Females","55-74",54.8,6.3,1.3
"2008Q4","Outside Capital region","Females","16-64",78.8,8.2,2.7
"2008Q4","Outside Capital region","Females","25-64",82.0,7.1,1.2
"2009Q1","Total","Males and females","16-74",73.9,6.5,7.1
"2009Q1","Total","Males and females","16-24",57.9,18.0,12.6
"2009Q1","Total","Males and females","25-54",83.0,5.4,6.9
"2009Q1","Total","Males and females","55-74",63.2,2.0,3.5
"2009Q1","Total","Males and females","16-64",77.5,6.6,7.3
"2009Q1","Total","Males and females","25-64",82.4,4.7,6.3
"2009Q1","Total","Males","16-74",75.7,4.6,9.2
"2009Q1","Total","Males","16-24",52.9,14.0,16.7
"2009Q1","Total","Males","25-54",84.5,3.8,8.9
"2009Q1","Total","Males","55-74",70.8,1.2,5.0
"2009Q1","Total","Males","16-64",78.3,4.5,9.5
"2009Q1","Total","Males","25-64",84.6,3.1,8.3
"2009Q1","Total","Females","16-74",72.1,8.6,4.8
"2009Q1","Total","Females","16-24",63.1,21.5,8.7
"2009Q1","Total","Females","25-54",81.5,7.1,4.7
"2009Q1","Total","Females","55-74",55.6,3.0,1.5
"2009Q1","Total","Females","16-64",76.7,8.9,4.8
"2009Q1","Total","Females","25-64",80.1,6.4,4.1
"2009Q1","Capital region","Males and females","16-74",75.3,6.0,7.4
"2009Q1","Capital region","Males and females","16-24",61.6,15.6,11.7
"2009Q1","Capital region","Males and females","25-54",82.9,4.8,7.4
"2009Q1","Capital region","Males and females","55-74",66.3,2.7,4.0
"2009Q1","Capital region","Males and females","16-64",78.2,6.0,7.7
"2009Q1","Capital region","Males and females","25-64",82.4,4.3,6.9
"2009Q1","Capital region","Males","16-74",77.2,4.8,9.8
"2009Q1","Capital region","Males","16-24",56.8,13.4,15.7
"2009Q1","Capital region","Males","25-54",84.6,4.0,9.8
"2009Q1","Capital region","Males","55-74",73.4,1.8,5.7
"2009Q1","Capital region","Males","16-64",79.4,4.6,10.2
"2009Q1","Capital region","Males","25-64",84.8,3.2,9.2
"2009Q1","Capital region","Females","16-74",73.3,7.3,4.5
"2009Q1","Capital region","Females","16-24",66.5,17.5,8.0
"2009Q1","Capital region","Females","25-54",81.0,5.6,4.4
"2009Q1","Capital region","Females","55-74",59.0,3.8,1.6
"2009Q1","Capital region","Females","16-64",77.0,7.6,4.7
"2009Q1","Capital region","Females","25-64",79.7,5.5,3.9
"2009Q1","Outside Capital region","Males and females","16-74",71.4,7.5,6.6
"2009Q1","Outside Capital region","Males and females","16-24",50.7,23.6,14.7
"2009Q1","Outside Capital region","Males and females","25-54",83.3,6.5,6.1
"2009Q1","Outside Capital region","Males and females","55-74",58.0,0.6,2.5
"2009Q1","Outside Capital region","Males and females","16-64",76.2,7.8,6.7
"2009Q1","Outside Capital region","Males and females","25-64",82.4,5.4,5.4
"2009Q1","Outside Capital region","Males","16-74",72.8,4.1,7.8
"2009Q1","Outside Capital region","Males","16-24",46.0,15.4,18.9
"2009Q1","Outside Capital region","Males","25-54",84.3,3.4,6.9
"2009Q1","Outside Capital region","Males","55-74",66.2,0.0,3.4
"2009Q1","Outside Capital region","Males","16-64",76.3,4.3,8.1
"2009Q1","Outside Capital region","Males","25-64",84.1,2.7,6.4
"2009Q1","Outside Capital region","Females","16-74",69.9,11.1,5.3
"2009Q1","Outside Capital region","Females","16-24",56.0,31.5,10.2
"2009Q1","Outside Capital region","Females","25-54",82.3,9.7,5.2
"2009Q1","Outside Capital region","Females","55-74",50.1,1.4,1.3
"2009Q1","Outside Capital region","Females","16-64",76.2,11.3,5.1
"2009Q1","Outside Capital region","Females","25-64",80.7,8.2,4.3
"2009Q2","Total","Males and females","16-74",74.7,6.9,9.0
"2009Q2","Total","Males and females","16-24",64.1,21.4,21.9
"2009Q2","Total","Males and females","25-54",83.2,4.4,6.9
"2009Q2","Total","Males and females","55-74",61.3,3.7,3.7
"2009Q2","Total","Males and females","16-64",78.7,7.1,9.3
"2009Q2","Total","Males and females","25-64",82.4,4.3,6.4
"2009Q2","Total","Males","16-74",77.1,5.2,10.7
"2009Q2","Total","Males","16-24",59.6,17.6,27.4
"2009Q2","Total","Males","25-54",86.5,3.0,7.8
"2009Q2","Total","Males","55-74",67.0,3.6,4.7
"2009Q2","Total","Males","16-64",80.6,5.3,11.0
"2009Q2","Total","Males","25-64",85.9,3.2,7.4
"2009Q2","Total","Females","16-74",72.1,8.8,7.2
"2009Q2","Total","Females","16-24",69.0,24.9,16.0
"2009Q2","Total","Females","25-54",79.7,6.0,5.8
"2009Q2","Total","Females","55-74",55.6,3.9,2.3
"2009Q2","Total","Females","16-64",76.8,9.0,7.3
"2009Q2","Total","Females","25-64",78.7,5.5,5.2
"2009Q2","Capital region","Males and females","16-74",73.8,7.6,10.0
"2009Q2","Capital region","Males and females","16-24",64.5,23.0,22.4
"2009Q2","Capital region","Males and females","25-54",81.4,5.0,8.0
"2009Q2","Capital region","Males and females","55-74",61.1,3.6,4.2
"2009Q2","Capital region","Males and females","16-64",77.6,7.8,10.2
"2009Q2","Capital region","Males and females","25-64",80.8,4.8,7.4
"2009Q2","Capital region","Males","16-74",76.7,6.3,11.5
"2009Q2","Capital region","Males","16-24",61.0,20.8,27.7
"2009Q2","Capital region","Males","25-54",84.5,3.8,8.9
"2009Q2","Capital region","Males","55-74",69.3,3.8,4.5
"2009Q2","Capital region","Males","16-64",80.0,6.5,11.8
"2009Q2","Capital region","Males","25-64",84.8,3.9,8.1
"2009Q2","Capital region","Females","16-74",70.8,8.9,8.3
"2009Q2","Capital region","Females","16-24",68.1,25.1,16.6
"2009Q2","Capital region","Females","25-54",78.4,6.2,7.0
"2009Q2","Capital region","Females","55-74",52.9,3.3,3.8
"2009Q2","Capital region","Females","16-64",75.1,9.2,8.4
"2009Q2","Capital region","Females","25-64",76.8,5.8,6.5
"2009Q2","Outside Capital region","Males and females","16-74",76.4,5.8,7.3
"2009Q2","Outside Capital region","Males and females","16-24",63.6,18.4,21.0
"2009Q2","Outside Capital region","Males and females","25-54",86.6,3.3,4.9
"2009Q2","Outside Capital region","Males and females","55-74",61.7,4.0,2.8
"2009Q2","Outside Capital region","Males and females","16-64",80.9,5.7,7.6
"2009Q2","Outside Capital region","Males and females","25-64",85.2,3.4,4.6
"2009Q2","Outside Capital region","Males","16-74",77.9,3.3,9.2
"2009Q2","Outside Capital region","Males","16-24",57.0,11.5,26.8
"2009Q2","Outside Capital region","Males","25-54",90.0,1.7,6.0
"2009Q2","Outside Capital region","Males","55-74",63.0,3.3,5.1
"2009Q2","Outside Capital region","Males","16-64",81.6,3.4,9.6
"2009Q2","Outside Capital region","Males","25-64",87.6,2.2,6.1
"2009Q2","Outside Capital region","Females","16-74",74.8,8.7,5.0
"2009Q2","Outside Capital region","Females","16-24",70.7,24.4,15.0
"2009Q2","Outside Capital region","Females","25-54",82.5,5.5,3.4
"2009Q2","Outside Capital region","Females","55-74",60.3,4.8,0.0
"2009Q2","Outside Capital region","Females","16-64",80.0,8.5,5.2
"2009Q2","Outside Capital region","Females","25-64",82.4,4.9,2.7
"2009Q3","Total","Males and females","16-74",77.2,4.5,6.0
"2009Q3","Total","Males and females","16-24",68.4,7.2,12.3
"2009Q3","Total","Males and females","25-54",85.3,4.1,5.1
"2009Q3","Total","Males and females","55-74",63.6,3.7,3.3
"2009Q3","Total","Males and females","16-64",81.4,4.5,6.1
"2009Q3","Total","Males and females","25-64",84.5,4.0,4.8
"2009Q3","Total","Males","16-74",80.2,3.2,6.5
"2009Q3","Total","Males","16-24",66.0,7.8,13.9
"2009Q3","Total","Males","25-54",88.9,2.3,5.4
"2009Q3","Total","Males","55-74",69.0,2.7,4.3
"2009Q3","Total","Males","16-64",83.7,3.2,6.7
"2009Q3","Total","Males","25-64",88.1,2.3,5.2
"2009Q3","Total","Females","16-74",74.1,6.0,5.4
"2009Q3","Total","Females","16-24",71.0,6.7,10.7
"2009Q3","Total","Females","25-54",81.5,6.1,4.8
"2009Q3","Total","Females","55-74",58.3,4.8,2.1
"2009Q3","Total","Females","16-64",78.9,6.0,5.5
"2009Q3","Total","Females","25-64",80.8,5.8,4.4
"2009Q3","Capital region","Males and females","16-74",75.7,4.7,7.1
"2009Q3","Capital region","Males and females","16-24",67.6,8.0,12.9
"2009Q3","Capital region","Males and females","25-54",82.6,4.1,6.7
"2009Q3","Capital region","Males and females","55-74",64.5,4.2,3.0
"2009Q3","Capital region","Males and females","16-64",79.7,4.7,7.3
"2009Q3","Capital region","Males and females","25-64",82.8,4.0,6.1
"2009Q3","Capital region","Males","16-74",78.2,3.6,7.8
"2009Q3","Capital region","Males","16-24",64.1,9.6,15.1
"2009Q3","Capital region","Males","25-54",85.8,2.1,7.2
"2009Q3","Capital region","Males","55-74",70.8,3.6,3.4
"2009Q3","Capital region","Males","16-64",81.6,3.4,8.0
"2009Q3","Capital region","Males","25-64",86.3,2.2,6.5
"2009Q3","Capital region","Females","16-74",73.3,6.0,6.3
"2009Q3","Capital region","Females","16-24",71.6,6.3,10.6
"2009Q3","Capital region","Females","25-54",79.6,6.2,6.1
"2009Q3","Capital region","Females","55-74",58.4,4.9,2.6
"2009Q3","Capital region","Females","16-64",77.8,6.0,6.5
"2009Q3","Capital region","Females","25-64",79.2,6.0,5.6
"2009Q3","Outside Capital region","Males and females","16-74",80.0,4.1,4.0
"2009Q3","Outside Capital region","Males and females","16-24",70.0,5.8,11.2
"2009Q3","Outside Capital region","Males and females","25-54",90.4,4.1,2.3
"2009Q3","Outside Capital region","Males and females","55-74",62.0,2.7,3.8
"2009Q3","Outside Capital region","Males and females","16-64",84.5,4.2,4.0
"2009Q3","Outside Capital region","Males and females","25-64",87.9,3.9,2.5
"2009Q3","Outside Capital region","Males","16-74",83.7,2.6,4.4
"2009Q3","Outside Capital region","Males","16-24",70.1,4.2,11.5
"2009Q3","Outside Capital region","Males","25-54",94.2,2.7,2.4
"2009Q3","Outside Capital region","Males","55-74",65.8,1.1,6.0
"2009Q3","Outside Capital region","Males","16-64",87.5,2.7,4.3
"2009Q3","Outside Capital region","Males","25-64",91.3,2.5,3.0
"2009Q3","Outside Capital region","Females","16-74",75.7,6.0,3.5
"2009Q3","Outside Capital region","Females","16-24",70.0,7.5,11.0
"2009Q3","Outside Capital region","Females","25-54",85.7,6.0,2.0
"2009Q3","Outside Capital region","Females","55-74",58.1,4.6,1.1
"2009Q3","Outside Capital region","Females","16-64",81.1,5.9,3.6
"2009Q3","Outside Capital region","Females","25-64",83.9,5.6,1.9
"2009Q4","Total","Males and females","16-74",75.1,7.0,6.7
"2009Q4","Total","Males and females","16-24",56.3,18.0,16.1
"2009Q4","Total","Males and females","25-54",84.7,5.2,5.6
"2009Q4","Total","Males and females","55-74",65.9,5.4,3.2
"2009Q4","Total","Males and females","16-64",78.7,7.1,6.8
"2009Q4","Total","Males and females","25-64",84.3,5.3,5.1
"2009Q4","Total","Males","16-74",76.7,5.0,7.9
"2009Q4","Total","Males","16-24",48.1,16.6,20.6
"2009Q4","Total","Males","25-54",87.9,3.1,6.7
"2009Q4","Total","Males","55-74",71.2,4.6,3.6
"2009Q4","Total","Males","16-64",79.8,5.0,8.1
"2009Q4","Total","Males","25-64",87.7,3.4,6.1
"2009Q4","Total","Females","16-74",73.4,9.1,5.4
"2009Q4","Total","Females","16-24",65.0,19.1,12.2
"2009Q4","Total","Females","25-54",81.3,7.5,4.3
"2009Q4","Total","Females","55-74",60.6,6.2,2.7
"2009Q4","Total","Females","16-64",77.6,9.3,5.4
"2009Q4","Total","Females","25-64",80.8,7.3,4.0
"2009Q4","Capital region","Males and females","16-74",75.5,6.8,6.7
"2009Q4","Capital region","Males and females","16-24",59.7,17.9,12.7
"2009Q4","Capital region","Males and females","25-54",84.1,4.9,6.1
"2009Q4","Capital region","Males and females","55-74",66.3,4.4,3.4
"2009Q4","Capital region","Males and females","16-64",78.7,6.9,6.8
"2009Q4","Capital region","Males and females","25-64",83.6,4.9,5.6
"2009Q4","Capital region","Males","16-74",76.5,5.6,7.8
"2009Q4","Capital region","Males","16-24",52.2,19.4,16.1
"2009Q4","Capital region","Males","25-54",87.0,3.4,7.3
"2009Q4","Capital region","Males","55-74",71.2,3.6,3.2
"2009Q4","Capital region","Males","16-64",79.4,5.7,8.0
"2009Q4","Capital region","Males","25-64",86.9,3.4,6.5
"2009Q4","Capital region","Females","16-74",74.4,7.9,5.5
"2009Q4","Capital region","Females","16-24",68.1,16.7,9.6
"2009Q4","Capital region","Females","25-54",81.3,6.5,4.9
"2009Q4","Capital region","Females","55-74",61.6,5.3,3.5
"2009Q4","Capital region","Females","16-64",78.0,8.1,5.5
"2009Q4","Capital region","Females","25-64",80.4,6.4,4.6
"2009Q4","Outside Capital region","Males and females","16-74",74.3,7.4,6.8
"2009Q4","Outside Capital region","Males and females","16-24",49.3,18.1,23.5
"2009Q4","Outside Capital region","Males and females","25-54",85.8,5.7,4.5
"2009Q4","Outside Capital region","Males and females","55-74",65.3,7.0,3.0
"2009Q4","Outside Capital region","Males and females","16-64",78.8,7.4,6.9
"2009Q4","Outside Capital region","Males and females","25-64",85.5,6.0,4.1
"2009Q4","Outside Capital region","Males","16-74",77.0,3.8,8.2
"2009Q4","Outside Capital region","Males","16-24",38.8,8.1,31.9
"2009Q4","Outside Capital region","Males","25-54",89.5,2.5,5.7
"2009Q4","Outside Capital region","Males","55-74",71.3,6.3,4.3
"2009Q4","Outside Capital region","Males","16-64",80.4,3.8,8.2
"2009Q4","Outside Capital region","Males","25-64",89.1,3.4,5.3
"2009Q4","Outside Capital region","Females","16-74",71.4,11.5,5.1
"2009Q4","Outside Capital region","Females","16-24",59.2,24.2,17.3
"2009Q4","Outside Capital region","Females","25-54",81.4,9.7,3.0
"2009Q4","Outside Capital region","Females","55-74",59.0,7.9,1.2
"2009Q4","Outside Capital region","Females","16-64",77.0,11.6,5.2
"2009Q4","Outside Capital region","Females","25-64",81.5,9.2,2.6
"2010Q1","Total","Males and females","16-74",73.9,7.6,7.6
"2010Q1","Total","Males and females","16-24",55.9,20.5,16.4
"2010Q1","Total","Males and females","25-54",83.3,5.7,6.4
"2010Q1","Total","Males and females","55-74",64.5,4.8,4.8
"2010Q1","Total","Males and females","16-64",77.4,7.8,7.7
"2010Q1","Total","Males and females","25-64",82.7,5.7,6.1
"2010Q1","Total","Males","16-74",75.7,5.9,9.4
"2010Q1","Total","Males","16-24",51.8,20.3,22.2
"2010Q1","Total","Males","25-54",85.7,4.2,7.9
"2010Q1","Total","Males","55-74",69.7,2.9,5.0
"2010Q1","Total","Males","16-64",78.8,6.2,9.6
"2010Q1","Total","Males","25-64",85.6,4.1,7.3
"2010Q1","Total","Females","16-74",72.0,9.3,5.7
"2010Q1","Total","Females","16-24",60.2,20.6,10.3
"2010Q1","Total","Females","25-54",80.8,7.5,4.8
"2010Q1","Total","Females","55-74",59.3,7.0,4.6
"2010Q1","Total","Females","16-64",76.0,9.5,5.7
"2010Q1","Total","Females","25-64",79.8,7.4,4.7
"2010Q1","Capital region","Males and females","16-74",73.7,7.6,8.6
"2010Q1","Capital region","Males and females","16-24",56.8,19.5,15.2
"2010Q1","Capital region","Males and females","25-54",82.5,5.6,7.5
"2010Q1","Capital region","Males and females","55-74",65.2,5.3,6.9
"2010Q1","Capital region","Males and females","16-64",76.6,7.7,8.6
"2010Q1","Capital region","Males and females","25-64",81.8,5.6,7.3
"2010Q1","Capital region","Males","16-74",74.9,6.2,10.7
"2010Q1","Capital region","Males","16-24",51.5,19.7,22.1
"2010Q1","Capital region","Males","25-54",84.3,4.7,9.1
"2010Q1","Capital region","Males","55-74",70.6,2.4,7.2
"2010Q1","Capital region","Males","16-64",77.4,6.5,10.9
"2010Q1","Capital region","Males","25-64",84.2,4.4,8.7
"2010Q1","Capital region","Females","16-74",72.4,9.0,6.3
"2010Q1","Capital region","Females","16-24",62.2,19.3,8.4
"2010Q1","Capital region","Females","25-54",80.7,6.6,5.6
"2010Q1","Capital region","Females","55-74",59.9,8.6,6.6
"2010Q1","Capital region","Females","16-64",75.8,9.0,6.2
"2010Q1","Capital region","Females","25-64",79.4,6.9,5.8
"2010Q1","Outside Capital region","Males and females","16-74",74.2,7.6,5.9
"2010Q1","Outside Capital region","Males and females","16-24",54.0,22.7,18.7
"2010Q1","Outside Capital region","Males and females","25-54",84.8,6.0,4.6
"2010Q1","Outside Capital region","Males and females","55-74",63.3,4.0,1.1
"2010Q1","Outside Capital region","Males and females","16-64",78.8,7.9,6.0
"2010Q1","Outside Capital region","Males and females","25-64",84.4,5.8,3.9
"2010Q1","Outside Capital region","Males","16-74",77.1,5.5,7.1
"2010Q1","Outside Capital region","Males","16-24",52.3,21.6,22.4
"2010Q1","Outside Capital region","Males","25-54",88.5,3.3,5.7
"2010Q1","Outside Capital region","Males","55-74",68.1,3.8,1.1
"2010Q1","Outside Capital region","Males","16-64",81.3,5.8,7.3
"2010Q1","Outside Capital region","Males","25-64",88.1,3.6,4.8
"2010Q1","Outside Capital region","Females","16-74",71.2,9.9,4.5
"2010Q1","Outside Capital region","Females","16-24",55.9,23.9,14.5
"2010Q1","Outside Capital region","Females","25-54",81.0,9.1,3.3
"2010Q1","Outside Capital region","Females","55-74",58.4,4.2,1.0
"2010Q1","Outside Capital region","Females","16-64",76.2,10.2,4.6
"2010Q1","Outside Capital region","Females","25-64",80.6,8.2,2.9
