Degree,Year,field,Total,Males,Females
Doctoral degree,2009,Architecture and building,3,2,1
Doctoral degree,2009,"Certified trades, not specified",0,0,0
Doctoral degree,2009,"Agriculture, forestry and fishery",3,1,2
Doctoral degree,2009,Veterinary,0,0,0
Doctoral degree,2009,Health,60,18,42
Doctoral degree,2009,Social services,4,0,4
Doctoral degree,2009,Personal services,0,0,0
Doctoral degree,2009,Transport services,0,0,0
Doctoral degree,2009,Environmental protection,0,0,0
Doctoral degree,2009,Security services,0,0,0
Doctoral degree,2009,Unknown,0,0,0
Doctoral degree,2010,Total,478,200,278
Doctoral degree,2010,"Basic/broad, general programmes",0,0,0
Doctoral degree,2010,Literacy and numeracy,0,0,0
Doctoral degree,2010,Personal skills,0,0,0
Doctoral degree,2010,Teacher training and educational science,71,19,52
Doctoral degree,2010,Arts,0,0,0
Doctoral degree,2010,Humanities,69,30,39
Doctoral degree,2010,Social and behavioural science,62,23,39
Doctoral degree,2010,Journalism and information,4,0,4
Doctoral degree,2010,Business and administration,14,6,8
Doctoral degree,2010,Law,6,4,2
Doctoral degree,2010,Life science,48,21,27
Doctoral degree,2010,Physical science,59,40,19
Doctoral degree,2010,Mathematics and statistics,8,5,3
Doctoral degree,2010,Computing,12,10,2
Doctoral degree,2010,"Science, not specified",0,0,0
Doctoral degree,2010,Engineering and engineering trades,20,12,8
Doctoral degree,2010,Manufacturing and processing,3,1,2
Doctoral degree,2010,Architecture and building,7,3,4
Doctoral degree,2010,"Certified trades, not specified",0,0,0
Doctoral degree,2010,"Agriculture, forestry and fishery",3,1,2
Doctoral degree,2010,Veterinary,0,0,0
Doctoral degree,2010,Health,83,22,61
Doctoral degree,2010,Social services,5,0,5
Doctoral degree,2010,Personal services,4,3,1
Doctoral degree,2010,Transport services,0,0,0
Doctoral degree,2010,Environmental protection,0,0,0
Doctoral degree,2010,Security services,0,0,0
Doctoral degree,2010,Unknown,0,0,0
Doctoral degree,2011,Total,452,170,282
Doctoral degree,2011,"Basic/broad, general programmes",0,0,0
Doctoral degree,2011,Literacy and numeracy,0,0,0
Doctoral degree,2011,Personal skills,0,0,0
Doctoral degree,2011,Teacher training and educational science,63,17,46
Doctoral degree,2011,Arts,0,0,0
Doctoral degree,2011,Humanities,74,29,45
Doctoral degree,2011,Social and behavioural science,62,20,42
Doctoral degree,2011,Journalism and information,4,0,4
Doctoral degree,2011,Business and administration,14,7,7
Doctoral degree,2011,Law,10,5,5
Doctoral degree,2011,Life science,52,22,30
Doctoral degree,2011,Physical science,52,35,17
Doctoral degree,2011,Mathematics and statistics,4,1,3
Doctoral degree,2011,Computing,8,5,3
Doctoral degree,2011,"Science, not specified",0,0,0
Doctoral degree,2011,Engineering and engineering trades,21,11,10
Doctoral degree,2011,Manufacturing and processing,2,0,2
Doctoral degree,2011,Architecture and building,7,3,4
Doctoral degree,2011,"Certified trades, not specified",0,0,0
Doctoral degree,2011,"Agriculture, forestry and fishery",2,1,1
Doctoral degree,2011,Veterinary,0,0,0
Doctoral degree,2011,Health,69,12,57
Doctoral degree,2011,Social services,5,0,5
Doctoral degree,2011,Personal services,3,2,1
Doctoral degree,2011,Transport services,0,0,0
Doctoral degree,2011,Environmental protection,0,0,0
Doctoral degree,2011,Security services,0,0,0
Doctoral degree,2011,Unknown,0,0,0
Doctoral degree,2012,Total,470,184,286
Doctoral degree,2012,"Basic/broad, general programmes",0,0,0
Doctoral degree,2012,Literacy and numeracy,0,0,0
Doctoral degree,2012,Personal skills,0,0,0
Doctoral degree,2012,Teacher training and educational science,70,20,50
Doctoral degree,2012,Arts,0,0,0
Doctoral degree,2012,Humanities,85,40,45
Doctoral degree,2012,Social and behavioural science,55,16,39
Doctoral degree,2012,Journalism and information,4,0,4
Doctoral degree,2012,Business and administration,17,8,9
Doctoral degree,2012,Law,9,4,5
Doctoral degree,2012,Life science,43,18,25
Doctoral degree,2012,Physical science,42,31,11
Doctoral degree,2012,Mathematics and statistics,5,2,3
Doctoral degree,2012,Computing,11,8,3
Doctoral degree,2012,"Science, not specified",0,0,0
Doctoral degree,2012,Engineering and engineering trades,20,12,8
Doctoral degree,2012,Manufacturing and processing,5,1,4
Doctoral degree,2012,Architecture and building,6,2,4
Doctoral degree,2012,"Certified trades, not specified",0,0,0
Doctoral degree,2012,"Agriculture, forestry and fishery",5,2,3
Doctoral degree,2012,Veterinary,0,0,0
Doctoral degree,2012,Health,85,18,67
Doctoral degree,2012,Social services,5,0,5
Doctoral degree,2012,Personal services,3,2,1
Doctoral degree,2012,Transport services,0,0,0
Doctoral degree,2012,Environmental protection,0,0,0
Doctoral degree,2012,Security services,0,0,0
Doctoral degree,2012,Unknown,0,0,0
Doctoral degree,2013,Total,491,186,305
Doctoral degree,2013,"Basic/broad, general programmes",0,0,0
Doctoral degree,2013,Literacy and numeracy,0,0,0
Doctoral degree,2013,Personal skills,0,0,0
Doctoral degree,2013,Teacher training and educational science,82,19,63
Doctoral degree,2013,Arts,0,0,0
Doctoral degree,2013,Humanities,79,32,47
Doctoral degree,2013,Social and behavioural science,60,21,39
Doctoral degree,2013,Journalism and information,3,0,3
Doctoral degree,2013,Business and administration,15,9,6
Doctoral degree,2013,Law,9,4,5
Doctoral degree,2013,Life science,42,21,21
Doctoral degree,2013,Physical science,52,30,22
Doctoral degree,2013,Mathematics and statistics,3,1,2
Doctoral degree,2013,Computing,10,7,3
Doctoral degree,2013,"Science, not specified",0,0,0
Doctoral degree,2013,Engineering and engineering trades,21,15,6
Doctoral degree,2013,Manufacturing and processing,5,2,3
Doctoral degree,2013,Architecture and building,7,3,4
Doctoral degree,2013,"Certified trades, not specified",0,0,0
Doctoral degree,2013,"Agriculture, forestry and fishery",3,1,2
Doctoral degree,2013,Veterinary,0,0,0
Doctoral degree,2013,Health,89,19,70
Doctoral degree,2013,Social services,6,0,6
Doctoral degree,2013,Personal services,5,2,3
Doctoral degree,2013,Transport services,0,0,0
Doctoral degree,2013,Environmental protection,0,0,0
Doctoral degree,2013,Security services,0,0,0
Doctoral degree,2013,Unknown,0,0,0
Doctoral degree,2014,Total,519,198,321
Doctoral degree,2014,"Basic/broad, general programmes",0,0,0
Doctoral degree,2014,Literacy and numeracy,0,0,0
Doctoral degree,2014,Personal skills,0,0,0
Doctoral degree,2014,Teacher training and educational science,71,14,57
Doctoral degree,2014,Arts,0,0,0
Doctoral degree,2014,Humanities,92,36,56
Doctoral degree,2014,Social and behavioural science,61,16,45
Doctoral degree,2014,Journalism and information,4,0,4
Doctoral degree,2014,Business and administration,21,11,10
Doctoral degree,2014,Law,12,6,6
Doctoral degree,2014,Life science,48,29,19
Doctoral degree,2014,Physical science,53,30,23
Doctoral degree,2014,Mathematics and statistics,3,3,0
Doctoral degree,2014,Computing,8,6,2
Doctoral degree,2014,"Science, not specified",0,0,0
Doctoral degree,2014,Engineering and engineering trades,21,15,6
Doctoral degree,2014,Manufacturing and processing,5,2,3
Doctoral degree,2014,Architecture and building,5,0,5
Doctoral degree,2014,"Certified trades, not specified",0,0,0
Doctoral degree,2014,"Agriculture, forestry and fishery",6,2,4
Doctoral degree,2014,Veterinary,0,0,0
Doctoral degree,2014,Health,99,25,74
Doctoral degree,2014,Social services,5,0,5
Doctoral degree,2014,Personal services,5,3,2
Doctoral degree,2014,Transport services,0,0,0
Doctoral degree,2014,Environmental protection,0,0,0
Doctoral degree,2014,Security services,0,0,0
Doctoral degree,2014,Unknown,0,0,0
Doctoral degree,2015,Total,465,182,283
Doctoral degree,2015,"Basic/broad, general programmes",0,0,0
Doctoral degree,2015,Literacy and numeracy,0,0,0
Doctoral degree,2015,Personal skills,0,0,0
Doctoral degree,2015,Teacher training and educational science,62,14,48
Doctoral degree,2015,Arts,0,0,0
Doctoral degree,2015,Humanities,97,37,60
Doctoral degree,2015,Social and behavioural science,52,14,38
Doctoral degree,2015,Journalism and information,2,0,2
Doctoral degree,2015,Business and administration,15,6,9
Doctoral degree,2015,Law,10,5,5
Doctoral degree,2015,Life science,38,22,16
Doctoral degree,2015,Physical science,53,39,14
Doctoral degree,2015,Mathematics and statistics,1,1,0
Doctoral degree,2015,Computing,9,8,1
Doctoral degree,2015,"Science, not specified",0,0,0
Doctoral degree,2015,Engineering and engineering trades,9,9,0
Doctoral degree,2015,Manufacturing and processing,4,1,3
Doctoral degree,2015,Architecture and building,6,1,5
Doctoral degree,2015,"Certified trades, not specified",0,0,0
Doctoral degree,2015,"Agriculture, forestry and fishery",2,0,2
Doctoral degree,2015,Veterinary,0,0,0
Doctoral degree,2015,Health,98,23,75
Doctoral degree,2015,Social services,4,0,4
Doctoral degree,2015,Personal services,3,2,1
Doctoral degree,2015,Transport services,0,0,0
Doctoral degree,2015,Environmental protection,0,0,0
Doctoral degree,2015,Security services,0,0,0
Doctoral degree,2015,Unknown,0,0,0
Doctoral degree,2016,Total,469,185,284
Doctoral degree,2016,"Basic/broad, general programmes",0,0,0
Doctoral degree,2016,Literacy and numeracy,0,0,0
Doctoral degree,2016,Personal skills,0,0,0
Doctoral degree,2016,Teacher training and educational science,52,13,39
Doctoral degree,2016,Arts,0,0,0
Doctoral degree,2016,Humanities,101,43,58
Doctoral degree,2016,Social and behavioural science,53,14,39
Doctoral degree,2016,Journalism and information,5,0,5
Doctoral degree,2016,Business and administration,19,8,11
Doctoral degree,2016,Law,8,3,5
Doctoral degree,2016,Life science,42,20,22
Doctoral degree,2016,Physical science,55,32,23
Doctoral degree,2016,Mathematics and statistics,7,3,4
Doctoral degree,2016,Computing,5,5,0
Doctoral degree,2016,"Science, not specified",0,0,0
Doctoral degree,2016,Engineering and engineering trades,10,7,3
Doctoral degree,2016,Manufacturing and processing,6,2,4
Doctoral degree,2016,Architecture and building,7,3,4
Doctoral degree,2016,"Certified trades, not specified",0,0,0
Doctoral degree,2016,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,2016,Veterinary,0,0,0
Doctoral degree,2016,Health,93,30,63
Doctoral degree,2016,Social services,3,0,3
Doctoral degree,2016,Personal services,3,2,1
Doctoral degree,2016,Transport services,0,0,0
Doctoral degree,2016,Environmental protection,0,0,0
Doctoral degree,2016,Security services,0,0,0
Doctoral degree,2016,Unknown,0,0,0
Doctoral degree,2017,Total,637,262,375
Doctoral degree,2017,"Basic/broad, general programmes",0,0,0
Doctoral degree,2017,Literacy and numeracy,0,0,0
Doctoral degree,2017,Personal skills,0,0,0
Doctoral degree,2017,Teacher training and educational science,72,17,55
Doctoral degree,2017,Arts,0,0,0
Doctoral degree,2017,Humanities,121,55,66
Doctoral degree,2017,Social and behavioural science,74,22,52
Doctoral degree,2017,Journalism and information,5,0,5
Doctoral degree,2017,Business and administration,20,8,12
Doctoral degree,2017,Law,8,4,4
Doctoral degree,2017,Life science,61,31,30
Doctoral degree,2017,Physical science,75,44,31
Doctoral degree,2017,Mathematics and statistics,9,5,4
Doctoral degree,2017,Computing,8,8,0
Doctoral degree,2017,"Science, not specified",0,0,0
Doctoral degree,2017,Engineering and engineering trades,28,22,6
Doctoral degree,2017,Manufacturing and processing,11,2,9
Doctoral degree,2017,Architecture and building,10,5,5
Doctoral degree,2017,"Certified trades, not specified",0,0,0
Doctoral degree,2017,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,2017,Veterinary,0,0,0
Doctoral degree,2017,Health,123,36,87
Doctoral degree,2017,Social services,6,0,6
Doctoral degree,2017,Personal services,6,3,3
Doctoral degree,2017,Transport services,0,0,0
Doctoral degree,2017,Environmental protection,0,0,0
Doctoral degree,2017,Security services,0,0,0
Doctoral degree,2017,Unknown,0,0,0
Doctoral degree,2018,Total,577,237,340
Doctoral degree,2018,"Basic/broad, general programmes",0,0,0
Doctoral degree,2018,Literacy and numeracy,0,0,0
Doctoral degree,2018,Personal skills,0,0,0
Doctoral degree,2018,Teacher training and educational science,61,15,46
Doctoral degree,2018,Arts,0,0,0
Doctoral degree,2018,Humanities,112,51,61
Doctoral degree,2018,Social and behavioural science,68,20,48
Doctoral degree,2018,Journalism and information,2,0,2
Doctoral degree,2018,Business and administration,22,7,15
Doctoral degree,2018,Law,5,3,2
Doctoral degree,2018,Life science,61,28,33
Doctoral degree,2018,Physical science,77,43,34
Doctoral degree,2018,Mathematics and statistics,5,4,1
Doctoral degree,2018,Computing,8,6,2
Doctoral degree,2018,"Science, not specified",0,0,0
Doctoral degree,2018,Engineering and engineering trades,29,22,7
Doctoral degree,2018,Manufacturing and processing,10,1,9
Doctoral degree,2018,Architecture and building,5,3,2
Doctoral degree,2018,"Certified trades, not specified",0,0,0
Doctoral degree,2018,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,2018,Veterinary,0,0,0
Doctoral degree,2018,Health,105,31,74
Doctoral degree,2018,Social services,4,0,4
Doctoral degree,2018,Personal services,3,3,0
Doctoral degree,2018,Transport services,0,0,0
Doctoral degree,2018,Environmental protection,0,0,0
Doctoral degree,2018,Security services,0,0,0
Doctoral degree,2018,Unknown,0,0,0
Doctoral degree,2019,Total,580,235,345
Doctoral degree,2019,"Basic/broad, general programmes",0,0,0
Doctoral degree,2019,Literacy and numeracy,0,0,0
Doctoral degree,2019,Personal skills,0,0,0
Doctoral degree,2019,Teacher training and educational science,69,15,54
Doctoral degree,2019,Arts,0,0,0
Doctoral degree,2019,Humanities,93,45,48
Doctoral degree,2019,Social and behavioural science,77,24,53
Doctoral degree,2019,Journalism and information,3,0,3
Doctoral degree,2019,Business and administration,21,7,14
Doctoral degree,2019,Law,4,3,1
Doctoral degree,2019,Life science,52,21,31
Doctoral degree,2019,Physical science,68,39,29
Doctoral degree,2019,Mathematics and statistics,2,2,0
Doctoral degree,2019,Computing,18,14,4
Doctoral degree,2019,"Science, not specified",0,0,0
Doctoral degree,2019,Engineering and engineering trades,38,30,8
Doctoral degree,2019,Manufacturing and processing,15,3,12
Doctoral degree,2019,Architecture and building,6,4,2
Doctoral degree,2019,"Certified trades, not specified",0,0,0
Doctoral degree,2019,"Agriculture, forestry and fishery",0,0,0
Doctoral degree,2019,Veterinary,0,0,0
Doctoral degree,2019,Health,105,26,79
Doctoral degree,2019,Social services,3,0,3
Doctoral degree,2019,Personal services,6,2,4
Doctoral degree,2019,Transport services,0,0,0
Doctoral degree,2019,Environmental protection,0,0,0
Doctoral degree,2019,Security services,0,0,0
Doctoral degree,2019,Unknown,0,0,0
