"Income and taxes","Unit","Education","Sex","Age","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Income from work","Mean - total","Upper secondary education","Women","Total",656,714,721,724,737,776,842,906,1010,1107,1218,1350,1445,1499,1569,1711,1877,2072,2207,2081,2098,2225,2333,2467,2629,2846,3149,3333,3482
"Income from work","Mean - total","Upper secondary education","Women","16 - 24 years",501,538,540,532,537,568,621,683,744,814,908,971,978,983,1018,1103,1219,1357,1449,1284,1317,1446,1583,1715,1902,2127,2399,2574,2703
"Income from work","Mean - total","Upper secondary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Upper secondary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Upper secondary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Upper secondary education","Women","75 years and over",26,30,37,37,35,28,24,31,52,51,64,66,67,63,65,57,58,59,60,62,49,49,48,64,57,66,65,63,69
"Income from work","Mean - total","- Vocational education at the upper secondary level","Total","Total",1251,1354,1351,1342,1351,1406,1515,1604,1765,1888,2017,2200,2310,2345,2458,2651,2886,3107,3268,3051,3132,3347,3524,3675,3813,4121,4449,4636,4877
"Income from work","Mean - total","- Vocational education at the upper secondary level","Total","16 - 24 years",821,887,858,837,839,925,1012,1054,1189,1295,1406,1489,1461,1487,1571,1740,1886,2072,2139,1811,1858,1952,2126,2253,2356,2616,2951,3287,3566
"Income from work","Mean - total","- Vocational education at the upper secondary level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Vocational education at the upper secondary level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Vocational education at the upper secondary level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Vocational education at the upper secondary level","Total","75 years and over",88,102,107,106,84,75,78,79,94,98,103,98,100,99,101,92,92,97,100,94,93,93,94,104,122,130,152,139,163
"Income from work","Mean - total","- Vocational education at the upper secondary level","Men","Total",1505,1626,1619,1604,1614,1671,1801,1905,2089,2227,2371,2584,2692,2713,2846,3068,3345,3585,3760,3496,3614,3890,4111,4283,4425,4795,5153,5351,5648
"Income from work","Mean - total","- Vocational education at the upper secondary level","Men","16 - 24 years",1030,1100,1065,1024,1035,1130,1238,1265,1425,1568,1691,1797,1738,1769,1872,2094,2299,2502,2564,2122,2205,2373,2534,2641,2745,3057,3346,3652,3951
"Income from work","Mean - total","- Vocational education at the upper secondary level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Vocational education at the upper secondary level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Vocational education at the upper secondary level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Vocational education at the upper secondary level","Men","75 years and over",112,130,134,132,105,94,100,99,112,117,121,115,115,115,118,108,107,114,121,112,115,114,116,124,152,164,193,175,208
"Income from work","Mean - total","- Vocational education at the upper secondary level","Women","Total",683,748,754,759,772,816,878,930,1042,1139,1242,1367,1485,1555,1636,1776,1929,2117,2259,2151,2162,2272,2363,2484,2627,2814,3074,3228,3345
"Income from work","Mean - total","- Vocational education at the upper secondary level","Women","16 - 24 years",556,607,593,590,586,633,678,719,783,850,950,1008,1020,1015,1068,1166,1258,1420,1474,1311,1289,1298,1495,1623,1742,1907,2203,2526,2673
"Income from work","Mean - total","- Vocational education at the upper secondary level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Vocational education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Vocational education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Vocational education at the upper secondary level","Women","75 years and over",26,30,37,38,33,27,23,31,50,49,57,57,62,59,57,48,50,50,48,47,36,36,34,49,42,43,44,44,52
"Income from work","Mean - total","- General education at the upper secondary level","Total","Total",759,821,836,835,847,886,976,1077,1205,1328,1482,1623,1681,1719,1807,1996,2212,2481,2567,2298,2325,2493,2633,2808,3010,3293,3696,3950,4163
"Income from work","Mean - total","- General education at the upper secondary level","Total","16 - 24 years",529,563,569,561,567,598,668,740,822,894,1000,1046,1028,1022,1064,1169,1299,1424,1486,1267,1321,1482,1613,1757,1954,2193,2474,2646,2772
"Income from work","Mean - total","- General education at the upper secondary level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- General education at the upper secondary level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- General education at the upper secondary level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- General education at the upper secondary level","Total","75 years and over",158,219,123,20,126,129,123,127,296,180,257,310,237,151,311,210,211,222,215,207,220,180,174,200,154,178,182,182,160
"Income from work","Mean - total","- General education at the upper secondary level","Men","Total",973,1057,1081,1076,1087,1137,1258,1395,1580,1742,1949,2109,2155,2191,2321,2568,2843,3215,3233,2794,2824,3025,3185,3400,3621,3941,4414,4706,4973
"Income from work","Mean - total","- General education at the upper secondary level","Men","16 - 24 years",592,631,634,623,625,660,752,827,942,1017,1145,1177,1124,1099,1155,1285,1439,1560,1574,1275,1342,1515,1647,1799,1997,2244,2545,2737,2876
"Income from work","Mean - total","- General education at the upper secondary level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- General education at the upper secondary level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- General education at the upper secondary level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- General education at the upper secondary level","Men","75 years and over",225,331,185,32,142,203,219,247,614,301,380,471,383,202,558,333,346,372,334,290,366,270,253,291,195,199,231,249,190
"Income from work","Mean - total","- General education at the upper secondary level","Women","Total",611,660,672,673,687,722,792,869,966,1063,1184,1315,1380,1419,1479,1623,1791,1989,2108,1950,1971,2107,2230,2371,2556,2805,3150,3369,3533
"Income from work","Mean - total","- General education at the upper secondary level","Women","16 - 24 years",484,516,525,519,527,556,610,678,742,812,905,962,966,974,1007,1092,1208,1338,1428,1262,1307,1457,1589,1727,1923,2157,2424,2582,2698
"Income from work","Mean - total","- General education at the upper secondary level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- General education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- General education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- General education at the upper secondary level","Women","75 years and over",50,22,40,4,103,42,34,33,76,85,160,186,128,114,146,125,119,122,132,151,132,125,127,144,129,166,154,145,144
"Income from work","Mean - total","Tertiary education","Total","Total",1609,1735,1733,1732,1774,1835,1993,2122,2424,2674,2895,3207,3422,3573,3742,4110,4465,5003,5181,4802,4711,4923,5185,5482,5760,6201,6679,7075,7331
"Income from work","Mean - total","Tertiary education","Total","16 - 24 years",635,670,685,641,732,795,880,886,1146,1329,1557,1557,1535,1399,1505,1655,1744,2101,2088,1590,1620,1838,2006,2160,2193,2386,2837,3164,3334
"Income from work","Mean - total","Tertiary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Tertiary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Tertiary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Tertiary education","Total","75 years and over",229,240,211,217,228,283,267,256,348,333,331,341,352,341,364,346,369,420,381,304,327,349,362,342,368,373,372,395,433
"Income from work","Mean - total","Tertiary education","Men","Total",2071,2242,2246,2247,2276,2362,2571,2757,3116,3418,3712,4047,4280,4482,4747,5236,5702,6530,6605,5882,5794,6072,6399,6770,7061,7556,8066,8456,8698
"Income from work","Mean - total","Tertiary education","Men","16 - 24 years",726,769,794,748,809,922,1048,1034,1258,1600,1900,1742,1674,1540,1605,1756,1945,2349,2239,1647,1744,1963,2145,2373,2282,2622,3114,3339,3483
"Income from work","Mean - total","Tertiary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Tertiary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Tertiary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Tertiary education","Men","75 years and over",271,277,241,251,266,341,321,306,431,411,406,415,424,411,437,428,458,526,405,378,409,434,447,437,491,495,505,536,602
"Income from work","Mean - total","Tertiary education","Women","Total",1029,1125,1139,1158,1225,1270,1392,1483,1734,1953,2116,2420,2635,2759,2863,3156,3432,3758,4044,3955,3877,4054,4278,4535,4809,5219,5682,6089,6361
"Income from work","Mean - total","Tertiary education","Women","16 - 24 years",564,584,597,561,661,691,752,784,1025,1100,1267,1383,1399,1283,1432,1589,1591,1912,1985,1553,1536,1751,1900,2012,2131,2210,2646,3057,3245
"Income from work","Mean - total","Tertiary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Tertiary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Tertiary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Tertiary education","Women","75 years and over",11,59,37,34,60,67,54,66,48,50,68,105,121,127,169,147,154,174,326,138,153,180,194,163,149,163,157,178,180
"Income from work","Mean - total","- Short-cycle tertiary education","Total","Total",1147,1218,1207,1227,1299,1367,1490,1560,1831,2061,2272,2583,2756,2858,3004,3354,3686,4031,4278,4139,4121,4297,4488,4697,4930,5310,5758,6038,6256
"Income from work","Mean - total","- Short-cycle tertiary education","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Income from work","Mean - total","- Short-cycle tertiary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Short-cycle tertiary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Short-cycle tertiary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Short-cycle tertiary education","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Income from work","Mean - total","- Short-cycle tertiary education","Men","Total",1660,1756,1716,1686,1695,1819,2031,2215,2508,2757,3024,3344,3460,3568,3764,4163,4562,4961,5253,4978,5037,5317,5618,5917,6179,6742,7394,7742,8022
"Income from work","Mean - total","- Short-cycle tertiary education","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Income from work","Mean - total","- Short-cycle tertiary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Short-cycle tertiary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Short-cycle tertiary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Short-cycle tertiary education","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Income from work","Mean - total","- Short-cycle tertiary education","Women","Total",919,970,966,1006,1097,1141,1221,1245,1477,1675,1840,2126,2328,2424,2537,2848,3120,3413,3607,3552,3481,3578,3689,3823,4019,4264,4555,4769,4901
"Income from work","Mean - total","- Short-cycle tertiary education","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Income from work","Mean - total","- Short-cycle tertiary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Short-cycle tertiary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Short-cycle tertiary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Short-cycle tertiary education","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Income from work","Mean - total","- Bachelor�s or equivalent level","Total","Total",1435,1566,1566,1563,1605,1670,1852,2003,2286,2536,2745,3051,3209,3331,3470,3816,4136,4640,4798,4426,4320,4508,4720,4983,5256,5621,6095,6485,6740
"Income from work","Mean - total","- Bachelor�s or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Income from work","Mean - total","- Bachelor�s or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Bachelor�s or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Bachelor�s or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Bachelor�s or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Income from work","Mean - total","- Bachelor�s or equivalent level","Men","Total",1925,2103,2100,2091,2121,2219,2476,2716,3054,3395,3722,4060,4195,4376,4650,5172,5654,6590,6573,5685,5570,5829,6099,6406,6661,7031,7556,7968,8201
"Income from work","Mean - total","- Bachelor�s or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Income from work","Mean - total","- Bachelor�s or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Bachelor�s or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Bachelor�s or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","- Bachelor�s or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Income from work","Mean - total","- Bachelor�s or equivalent level","Women","Total",1016,1122,1134,1149,1208,1251,1386,1487,1732,1943,2092,2383,2572,2671,2742,3007,3242,3515,3790,3719,3628,3779,3960,4193,4463,4818,5252,5628,5887
