"ISCED level","Type of education","Degrees","Year","Narrow field of study","Total","Males","Females"
"Total","Total","Associate & diploma degree","2016","Computing",0,0,0
"Total","Total","Associate & diploma degree","2016","Science, not specified",0,0,0
"Total","Total","Associate & diploma degree","2016","Engineering and engineering trades",0,0,0
"Total","Total","Associate & diploma degree","2016","Manufacturing and processing",0,0,0
"Total","Total","Associate & diploma degree","2016","Architecture and building",0,0,0
"Total","Total","Associate & diploma degree","2016","Certified trades, not specified",0,0,0
"Total","Total","Associate & diploma degree","2016","Agriculture, forestry and fishery",0,0,0
"Total","Total","Associate & diploma degree","2016","Veterinary",0,0,0
"Total","Total","Associate & diploma degree","2016","Health",0,0,0
"Total","Total","Associate & diploma degree","2016","Social services",0,0,0
"Total","Total","Associate & diploma degree","2016","Personal services",39,15,24
"Total","Total","Associate & diploma degree","2016","Transport services",0,0,0
"Total","Total","Associate & diploma degree","2016","Environmental protection",0,0,0
"Total","Total","Associate & diploma degree","2016","Security services",0,0,0
"Total","Total","Associate & diploma degree","2016","Unknown",0,0,0
"Total","Total","Associate & diploma degree","2017","Total",236,109,127
"Total","Total","Associate & diploma degree","2017","Basic/broad, general programmes",0,0,0
"Total","Total","Associate & diploma degree","2017","Literacy and numeracy",0,0,0
"Total","Total","Associate & diploma degree","2017","Personal skills",0,0,0
"Total","Total","Associate & diploma degree","2017","Teacher training and educational science",0,0,0
"Total","Total","Associate & diploma degree","2017","Arts",1,1,0
"Total","Total","Associate & diploma degree","2017","Humanities",175,80,95
"Total","Total","Associate & diploma degree","2017","Social and behavioural science",0,0,0
"Total","Total","Associate & diploma degree","2017","Journalism and information",0,0,0
"Total","Total","Associate & diploma degree","2017","Business and administration",4,4,0
"Total","Total","Associate & diploma degree","2017","Law",0,0,0
"Total","Total","Associate & diploma degree","2017","Life science",0,0,0
"Total","Total","Associate & diploma degree","2017","Physical science",0,0,0
"Total","Total","Associate & diploma degree","2017","Mathematics and statistics",0,0,0
"Total","Total","Associate & diploma degree","2017","Computing",0,0,0
"Total","Total","Associate & diploma degree","2017","Science, not specified",0,0,0
"Total","Total","Associate & diploma degree","2017","Engineering and engineering trades",0,0,0
"Total","Total","Associate & diploma degree","2017","Manufacturing and processing",0,0,0
"Total","Total","Associate & diploma degree","2017","Architecture and building",0,0,0
"Total","Total","Associate & diploma degree","2017","Certified trades, not specified",0,0,0
"Total","Total","Associate & diploma degree","2017","Agriculture, forestry and fishery",0,0,0
"Total","Total","Associate & diploma degree","2017","Veterinary",0,0,0
"Total","Total","Associate & diploma degree","2017","Health",0,0,0
"Total","Total","Associate & diploma degree","2017","Social services",0,0,0
"Total","Total","Associate & diploma degree","2017","Personal services",56,24,32
"Total","Total","Associate & diploma degree","2017","Transport services",0,0,0
"Total","Total","Associate & diploma degree","2017","Environmental protection",0,0,0
"Total","Total","Associate & diploma degree","2017","Security services",0,0,0
"Total","Total","Associate & diploma degree","2017","Unknown",0,0,0
"Total","Total","Associate & diploma degree","2018","Total",291,99,192
"Total","Total","Associate & diploma degree","2018","Basic/broad, general programmes",0,0,0
"Total","Total","Associate & diploma degree","2018","Literacy and numeracy",0,0,0
"Total","Total","Associate & diploma degree","2018","Personal skills",0,0,0
"Total","Total","Associate & diploma degree","2018","Teacher training and educational science",0,0,0
"Total","Total","Associate & diploma degree","2018","Arts",0,0,0
"Total","Total","Associate & diploma degree","2018","Humanities",232,84,148
"Total","Total","Associate & diploma degree","2018","Social and behavioural science",32,5,27
"Total","Total","Associate & diploma degree","2018","Journalism and information",0,0,0
"Total","Total","Associate & diploma degree","2018","Business and administration",6,2,4
"Total","Total","Associate & diploma degree","2018","Law",0,0,0
"Total","Total","Associate & diploma degree","2018","Life science",0,0,0
"Total","Total","Associate & diploma degree","2018","Physical science",0,0,0
"Total","Total","Associate & diploma degree","2018","Mathematics and statistics",0,0,0
"Total","Total","Associate & diploma degree","2018","Computing",0,0,0
"Total","Total","Associate & diploma degree","2018","Science, not specified",0,0,0
"Total","Total","Associate & diploma degree","2018","Engineering and engineering trades",0,0,0
"Total","Total","Associate & diploma degree","2018","Manufacturing and processing",0,0,0
"Total","Total","Associate & diploma degree","2018","Architecture and building",0,0,0
"Total","Total","Associate & diploma degree","2018","Certified trades, not specified",0,0,0
"Total","Total","Associate & diploma degree","2018","Agriculture, forestry and fishery",0,0,0
"Total","Total","Associate & diploma degree","2018","Veterinary",0,0,0
"Total","Total","Associate & diploma degree","2018","Health",0,0,0
"Total","Total","Associate & diploma degree","2018","Social services",0,0,0
"Total","Total","Associate & diploma degree","2018","Personal services",21,8,13
"Total","Total","Associate & diploma degree","2018","Transport services",0,0,0
"Total","Total","Associate & diploma degree","2018","Environmental protection",0,0,0
"Total","Total","Associate & diploma degree","2018","Security services",0,0,0
"Total","Total","Associate & diploma degree","2018","Unknown",0,0,0
"Total","Total","Associate & diploma degree","2019","Total",375,97,278
"Total","Total","Associate & diploma degree","2019","Basic/broad, general programmes",0,0,0
"Total","Total","Associate & diploma degree","2019","Literacy and numeracy",0,0,0
"Total","Total","Associate & diploma degree","2019","Personal skills",0,0,0
"Total","Total","Associate & diploma degree","2019","Teacher training and educational science",0,0,0
"Total","Total","Associate & diploma degree","2019","Arts",0,0,0
"Total","Total","Associate & diploma degree","2019","Humanities",229,79,150
"Total","Total","Associate & diploma degree","2019","Social and behavioural science",37,7,30
"Total","Total","Associate & diploma degree","2019","Journalism and information",0,0,0
"Total","Total","Associate & diploma degree","2019","Business and administration",10,7,3
"Total","Total","Associate & diploma degree","2019","Law",0,0,0
"Total","Total","Associate & diploma degree","2019","Life science",0,0,0
"Total","Total","Associate & diploma degree","2019","Physical science",0,0,0
"Total","Total","Associate & diploma degree","2019","Mathematics and statistics",0,0,0
"Total","Total","Associate & diploma degree","2019","Computing",0,0,0
"Total","Total","Associate & diploma degree","2019","Science, not specified",0,0,0
"Total","Total","Associate & diploma degree","2019","Engineering and engineering trades",4,4,0
"Total","Total","Associate & diploma degree","2019","Manufacturing and processing",0,0,0
"Total","Total","Associate & diploma degree","2019","Architecture and building",0,0,0
"Total","Total","Associate & diploma degree","2019","Certified trades, not specified",0,0,0
"Total","Total","Associate & diploma degree","2019","Agriculture, forestry and fishery",0,0,0
"Total","Total","Associate & diploma degree","2019","Veterinary",0,0,0
"Total","Total","Associate & diploma degree","2019","Health",95,0,95
"Total","Total","Associate & diploma degree","2019","Social services",0,0,0
"Total","Total","Associate & diploma degree","2019","Personal services",0,0,0
"Total","Total","Associate & diploma degree","2019","Transport services",0,0,0
"Total","Total","Associate & diploma degree","2019","Environmental protection",0,0,0
"Total","Total","Associate & diploma degree","2019","Security services",0,0,0
"Total","Total","Associate & diploma degree","2019","Unknown",0,0,0
"Total","Total","Basic & first degree","1997","Total",7688,3081,4607
"Total","Total","Basic & first degree","1997","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","1997","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","1997","Personal skills",0,0,0
"Total","Total","Basic & first degree","1997","Teacher training and educational science",1352,238,1114
"Total","Total","Basic & first degree","1997","Arts",224,79,145
"Total","Total","Basic & first degree","1997","Humanities",1097,393,704
"Total","Total","Basic & first degree","1997","Social and behavioural science",825,300,525
"Total","Total","Basic & first degree","1997","Journalism and information",119,17,102
"Total","Total","Basic & first degree","1997","Business and administration",1096,619,477
"Total","Total","Basic & first degree","1997","Law",440,233,207
"Total","Total","Basic & first degree","1997","Life science",203,82,121
"Total","Total","Basic & first degree","1997","Physical science",159,100,59
"Total","Total","Basic & first degree","1997","Mathematics and statistics",31,25,6
"Total","Total","Basic & first degree","1997","Computing",417,326,91
"Total","Total","Basic & first degree","1997","Science, not specified",5,3,2
"Total","Total","Basic & first degree","1997","Engineering and engineering trades",255,230,25
"Total","Total","Basic & first degree","1997","Manufacturing and processing",62,22,40
"Total","Total","Basic & first degree","1997","Architecture and building",105,86,19
"Total","Total","Basic & first degree","1997","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","1997","Agriculture, forestry and fishery",76,64,12
"Total","Total","Basic & first degree","1997","Veterinary",0,0,0
"Total","Total","Basic & first degree","1997","Health",1188,263,925
"Total","Total","Basic & first degree","1997","Social services",34,1,33
"Total","Total","Basic & first degree","1997","Personal services",0,0,0
"Total","Total","Basic & first degree","1997","Transport services",0,0,0
"Total","Total","Basic & first degree","1997","Environmental protection",0,0,0
"Total","Total","Basic & first degree","1997","Security services",0,0,0
"Total","Total","Basic & first degree","1997","Unknown",0,0,0
"Total","Total","Basic & first degree","1998","Total",8027,3045,4982
"Total","Total","Basic & first degree","1998","Basic/broad, general programmes",0,0,0
