Year,Sex,Age,Education,Income and taxes,Unit,Value
1996,Men,16 - 24 years,Upper secondary education,Total annual income,Mean - total,956000.0
1996,Men,75 years and over,Upper secondary education,Total annual income,Mean - total,1250000.0
1996,Women,Total,Upper secondary education,Total annual income,Mean - total,1079000.0
1996,Women,16 - 24 years,Upper secondary education,Total annual income,Mean - total,700000.0
1996,Women,75 years and over,Upper secondary education,Total annual income,Mean - total,1075000.0
1996,Total,Total,Upper secondary education: vocational,Total annual income,Mean - total,1839000.0
1996,Total,16 - 24 years,Upper secondary education: vocational,Total annual income,Mean - total,1096000.0
1996,Total,75 years and over,Upper secondary education: vocational,Total annual income,Mean - total,1188000.0
1996,Men,Total,Upper secondary education: vocational,Total annual income,Mean - total,2134000.0
1996,Men,16 - 24 years,Upper secondary education: vocational,Total annual income,Mean - total,1289000.0
1996,Men,75 years and over,Upper secondary education: vocational,Total annual income,Mean - total,1240000.0
1996,Women,Total,Upper secondary education: vocational,Total annual income,Mean - total,1180000.0
1996,Women,16 - 24 years,Upper secondary education: vocational,Total annual income,Mean - total,811000.0
1996,Women,75 years and over,Upper secondary education: vocational,Total annual income,Mean - total,1059000.0
1996,Total,Total,Upper secondary education: general,Total annual income,Mean - total,1131000.0
1996,Total,16 - 24 years,Upper secondary education: general,Total annual income,Mean - total,728000.0
1996,Total,75 years and over,Upper secondary education: general,Total annual income,Mean - total,1620000.0
1996,Men,Total,Upper secondary education: general,Total annual income,Mean - total,1408000.0
1996,Men,16 - 24 years,Upper secondary education: general,Total annual income,Mean - total,803000.0
1996,Men,75 years and over,Upper secondary education: general,Total annual income,Mean - total,1818000.0
1996,Women,Total,Upper secondary education: general,Total annual income,Mean - total,949000.0
1996,Women,16 - 24 years,Upper secondary education: general,Total annual income,Mean - total,676000.0
1996,Women,75 years and over,Upper secondary education: general,Total annual income,Mean - total,1439000.0
1996,Total,Total,Tertiary education,Total annual income,Mean - total,2288000.0
1996,Total,16 - 24 years,Tertiary education,Total annual income,Mean - total,944000.0
1996,Total,75 years and over,Tertiary education,Total annual income,Mean - total,2007000.0
1996,Men,Total,Tertiary education,Total annual income,Mean - total,2946000.0
1996,Men,16 - 24 years,Tertiary education,Total annual income,Mean - total,1105000.0
1996,Men,75 years and over,Tertiary education,Total annual income,Mean - total,2068000.0
1996,Women,Total,Tertiary education,Total annual income,Mean - total,1602000.0
1996,Women,16 - 24 years,Tertiary education,Total annual income,Mean - total,821000.0
1996,Women,75 years and over,Tertiary education,Total annual income,Mean - total,1766000.0
1996,Total,Total,Short-cycle tertiary education,Total annual income,Mean - total,1689000.0
1996,Men,Total,Short-cycle tertiary education,Total annual income,Mean - total,2257000.0
1996,Women,Total,Short-cycle tertiary education,Total annual income,Mean - total,1407000.0
1996,Total,Total,Bachelor's or equivalent level,Total annual income,Mean - total,2045000.0
1996,Men,Total,Bachelor's or equivalent level,Total annual income,Mean - total,2677000.0
1996,Women,Total,Bachelor's or equivalent level,Total annual income,Mean - total,1574000.0
1996,Total,Total,Master's or equivalent level,Total annual income,Mean - total,3148000.0
1996,Men,Total,Master's or equivalent level,Total annual income,Mean - total,3568000.0
1996,Women,Total,Master's or equivalent level,Total annual income,Mean - total,2057000.0
1996,Total,Total,Doctoral or equivalent level,Total annual income,Mean - total,3450000.0
1996,Men,Total,Doctoral or equivalent level,Total annual income,Mean - total,3624000.0
1996,Women,Total,Doctoral or equivalent level,Total annual income,Mean - total,2555000.0
1996,Total,Total,Total,Total annual income,Median - total,1114000.0
1996,Total,16 - 24 years,Total,Total annual income,Median - total,625000.0
1996,Total,75 years and over,Total,Total annual income,Median - total,843000.0
1996,Men,Total,Total,Total annual income,Median - total,1542000.0
1996,Men,16 - 24 years,Total,Total annual income,Median - total,694000.0
1996,Men,75 years and over,Total,Total annual income,Median - total,902000.0
1996,Women,Total,Total,Total annual income,Median - total,910000.0
1996,Women,16 - 24 years,Total,Total annual income,Median - total,568000.0
1996,Women,75 years and over,Total,Total annual income,Median - total,817000.0
1996,Total,Total,Basic education,Total annual income,Median - total,908000.0
1996,Total,16 - 24 years,Basic education,Total annual income,Median - total,578000.0
1996,Total,75 years and over,Basic education,Total annual income,Median - total,820000.0
1996,Men,Total,Basic education,Total annual income,Median - total,1118000.0
1996,Men,16 - 24 years,Basic education,Total annual income,Median - total,660000.0
1996,Men,75 years and over,Basic education,Total annual income,Median - total,847000.0
1996,Women,Total,Basic education,Total annual income,Median - total,830000.0
1996,Women,16 - 24 years,Basic education,Total annual income,Median - total,510000.0
1996,Women,75 years and over,Basic education,Total annual income,Median - total,807000.0
1996,Total,Total,Upper secondary education,Total annual income,Median - total,1327000.0
1996,Total,16 - 24 years,Upper secondary education,Total annual income,Median - total,703000.0
1996,Total,75 years and over,Upper secondary education,Total annual income,Median - total,952000.0
1996,Men,Total,Upper secondary education,Total annual income,Median - total,1737000.0
1996,Men,16 - 24 years,Upper secondary education,Total annual income,Median - total,770000.0
1996,Men,75 years and over,Upper secondary education,Total annual income,Median - total,954000.0
1996,Women,Total,Upper secondary education,Total annual income,Median - total,944000.0
1996,Women,16 - 24 years,Upper secondary education,Total annual income,Median - total,658000.0
1996,Women,75 years and over,Upper secondary education,Total annual income,Median - total,948000.0
1996,Total,Total,Upper secondary education: vocational,Total annual income,Median - total,1556000.0
1996,Total,16 - 24 years,Upper secondary education: vocational,Total annual income,Median - total,940000.0
1996,Total,75 years and over,Upper secondary education: vocational,Total annual income,Median - total,949000.0
1996,Men,Total,Upper secondary education: vocational,Total annual income,Median - total,1868000.0
1996,Men,16 - 24 years,Upper secondary education: vocational,Total annual income,Median - total,1192000.0
1996,Men,75 years and over,Upper secondary education: vocational,Total annual income,Median - total,951000.0
1996,Women,Total,Upper secondary education: vocational,Total annual income,Median - total,1054000.0
1996,Women,16 - 24 years,Upper secondary education: vocational,Total annual income,Median - total,777000.0
1996,Women,75 years and over,Upper secondary education: vocational,Total annual income,Median - total,943000.0
1996,Total,Total,Upper secondary education: general,Total annual income,Median - total,870000.0
1996,Total,16 - 24 years,Upper secondary education: general,Total annual income,Median - total,651000.0
1996,Total,75 years and over,Upper secondary education: general,Total annual income,Median - total,1180000.0
1996,Men,Total,Upper secondary education: general,Total annual income,Median - total,1043000.0
1996,Men,16 - 24 years,Upper secondary education: general,Total annual income,Median - total,684000.0
1996,Men,75 years and over,Upper secondary education: general,Total annual income,Median - total,1294000.0
1996,Women,Total,Upper secondary education: general,Total annual income,Median - total,798000.0
1996,Women,16 - 24 years,Upper secondary education: general,Total annual income,Median - total,630000.0
1996,Women,75 years and over,Upper secondary education: general,Total annual income,Median - total,1080000.0
1996,Total,Total,Tertiary education,Total annual income,Median - total,1955000.0
1996,Total,16 - 24 years,Tertiary education,Total annual income,Median - total,857000.0
1996,Total,75 years and over,Tertiary education,Total annual income,Median - total,1448000.0
1996,Men,Total,Tertiary education,Total annual income,Median - total,2662000.0
1996,Men,16 - 24 years,Tertiary education,Total annual income,Median - total,972000.0
1996,Men,75 years and over,Tertiary education,Total annual income,Median - total,1543000.0
1996,Women,Total,Tertiary education,Total annual income,Median - total,1476000.0
1996,Women,16 - 24 years,Tertiary education,Total annual income,Median - total,801000.0
1996,Women,75 years and over,Tertiary education,Total annual income,Median - total,1105000.0
1996,Total,Total,Short-cycle tertiary education,Total annual income,Median - total,1507000.0
1996,Men,Total,Short-cycle tertiary education,Total annual income,Median - total,2157000.0
1996,Women,Total,Short-cycle tertiary education,Total annual income,Median - total,1315000.0
1996,Total,Total,Bachelor's or equivalent level,Total annual income,Median - total,1828000.0
1996,Men,Total,Bachelor's or equivalent level,Total annual income,Median - total,2553000.0
1996,Women,Total,Bachelor's or equivalent level,Total annual income,Median - total,1497000.0
1996,Total,Total,Master's or equivalent level,Total annual income,Median - total,2762000.0
1996,Men,Total,Master's or equivalent level,Total annual income,Median - total,3159000.0
1996,Women,Total,Master's or equivalent level,Total annual income,Median - total,1944000.0
1996,Total,Total,Doctoral or equivalent level,Total annual income,Median - total,3127000.0
1996,Men,Total,Doctoral or equivalent level,Total annual income,Median - total,3271000.0
1996,Women,Total,Doctoral or equivalent level,Total annual income,Median - total,2404000.0
1996,Total,Total,Total,Total annual income,Number - total,182785000.0
1996,Total,16 - 24 years,Total,Total annual income,Number - total,34511000.0
1996,Total,75 years and over,Total,Total annual income,Number - total,12778000.0
1996,Men,Total,Total,Total annual income,Number - total,90132000.0
1996,Men,16 - 24 years,Total,Total annual income,Number - total,17575000.0
1996,Men,75 years and over,Total,Total annual income,Number - total,5265000.0
1996,Women,Total,Total,Total annual income,Number - total,92653000.0
1996,Women,16 - 24 years,Total,Total annual income,Number - total,16936000.0
1996,Women,75 years and over,Total,Total annual income,Number - total,7513000.0
1996,Total,Total,Basic education,Total annual income,Number - total,93089000.0
1996,Total,16 - 24 years,Basic education,Total annual income,Number - total,23645000.0
1996,Total,75 years and over,Basic education,Total annual income,Number - total,9775000.0
1996,Men,Total,Basic education,Total annual income,Number - total,38517000.0
1996,Men,16 - 24 years,Basic education,Total annual income,Number - total,12611000.0
1996,Men,75 years and over,Basic education,Total annual income,Number - total,3113000.0
1996,Women,Total,Basic education,Total annual income,Number - total,54572000.0
1996,Women,16 - 24 years,Basic education,Total annual income,Number - total,11034000.0
