Year,Sex,Age,Unit,value
1995,Men,25 - 64 years,40%,157300
1995,Men,25 - 74 years,40%,149000
1995,Men,55 - 74 years,40%,120500
1995,Men,67 years and older,40%,86800
1995,Men,75 years and older,40%,79700
1995,Men,Total,50%,142300
1995,Men,16 - 24 years,50%,64400
1995,Men,16 - 64 years,50%,152900
1995,Men,16 - 74 years,50%,148700
1995,Men,18 - 66 years,50%,159900
1995,Men,25 - 54 years,50%,186100
1995,Men,25 - 64 years,50%,182700
1995,Men,25 - 74 years,50%,174500
1995,Men,55 - 74 years,50%,143300
1995,Men,67 years and older,50%,96500
1995,Men,75 years and older,50%,86000
1995,Men,Total,60%,171600
1995,Men,16 - 24 years,60%,75700
1995,Men,16 - 64 years,60%,182500
1995,Men,16 - 74 years,60%,177900
1995,Men,18 - 66 years,60%,188800
1995,Men,25 - 54 years,60%,214200
1995,Men,25 - 64 years,60%,210600
1995,Men,25 - 74 years,60%,202500
1995,Men,55 - 74 years,60%,168100
1995,Men,67 years and older,60%,109900
1995,Men,75 years and older,60%,93900
1995,Men,Total,70%,206400
1995,Men,16 - 24 years,70%,93200
1995,Men,16 - 64 years,70%,217200
1995,Men,16 - 74 years,70%,212400
1995,Men,18 - 66 years,70%,222600
1995,Men,25 - 54 years,70%,246400
1995,Men,25 - 64 years,70%,243100
1995,Men,25 - 74 years,70%,235500
1995,Men,55 - 74 years,70%,197700
1995,Men,67 years and older,70%,127400
1995,Men,75 years and older,70%,105700
1995,Men,Total,80%,251300
1995,Men,16 - 24 years,80%,117400
1995,Men,16 - 64 years,80%,262200
1995,Men,16 - 74 years,80%,256700
1995,Men,18 - 66 years,80%,267200
1995,Men,25 - 54 years,80%,292500
1995,Men,25 - 64 years,80%,289200
1995,Men,25 - 74 years,80%,280300
1995,Men,55 - 74 years,80%,240000
1995,Men,67 years and older,80%,156300
1995,Men,75 years and older,80%,122700
1995,Men,Total,90%,330000
1995,Men,16 - 24 years,90%,155400
1995,Men,16 - 64 years,90%,341400
1995,Men,16 - 74 years,90%,336200
1995,Men,18 - 66 years,90%,347000
1995,Men,25 - 54 years,90%,371600
1995,Men,25 - 64 years,90%,370100
1995,Men,25 - 74 years,90%,361800
1995,Men,55 - 74 years,90%,321900
1995,Men,67 years and older,90%,214800
1995,Men,75 years and older,90%,149400
1995,Men,Total,95%,412100
1995,Men,16 - 24 years,95%,194500
1995,Men,16 - 64 years,95%,422200
1995,Men,16 - 74 years,95%,417400
1995,Men,18 - 66 years,95%,428200
1995,Men,25 - 54 years,95%,452000
1995,Men,25 - 64 years,95%,454700
1995,Men,25 - 74 years,95%,446100
1995,Men,55 - 74 years,95%,421100
1995,Men,67 years and older,95%,287200
1995,Men,75 years and older,95%,195300
1995,Men,Total,99%,641100
1995,Men,16 - 24 years,99%,313900
1995,Men,16 - 64 years,99%,647600
1995,Men,16 - 74 years,99%,647200
1995,Men,18 - 66 years,99%,656600
1995,Men,25 - 54 years,99%,675900
1995,Men,25 - 64 years,99%,692100
1995,Men,25 - 74 years,99%,688800
1995,Men,55 - 74 years,99%,737400
1995,Men,67 years and older,99%,562200
1995,Men,75 years and older,99%,442900
1995,Men,Total,Mean - conditional,172600
1995,Men,16 - 24 years,Mean - conditional,78000
1995,Men,16 - 64 years,Mean - conditional,179300
1995,Men,16 - 74 years,Mean - conditional,176700
1995,Men,18 - 66 years,Mean - conditional,187000
1995,Men,25 - 54 years,Mean - conditional,210800
1995,Men,25 - 64 years,Mean - conditional,209300
1995,Men,25 - 74 years,Mean - conditional,202400
1995,Men,55 - 74 years,Mean - conditional,178500
1995,Men,67 years and older,Mean - conditional,126800
1995,Men,75 years and older,Mean - conditional,104900
1995,Men,Total,Number - conditional,89867
1995,Men,16 - 24 years,Number - conditional,17545
1995,Men,16 - 64 years,Number - conditional,76657
1995,Men,16 - 74 years,Number - conditional,84757
1995,Men,18 - 66 years,Number - conditional,74541
1995,Men,25 - 54 years,Number - conditional,49762
1995,Men,25 - 64 years,Number - conditional,59112
1995,Men,25 - 74 years,Number - conditional,67212
1995,Men,55 - 74 years,Number - conditional,17450
1995,Men,67 years and older,Number - conditional,11298
1995,Men,75 years and older,Number - conditional,5110
1995,Women,Total,10%,25700
1995,Women,16 - 24 years,10%,14700
1995,Women,16 - 64 years,10%,24300
1995,Women,16 - 74 years,10%,25500
1995,Women,18 - 66 years,10%,29600
1995,Women,25 - 54 years,10%,33200
1995,Women,25 - 64 years,10%,33900
1995,Women,25 - 74 years,10%,34700
1995,Women,55 - 74 years,10%,37900
1995,Women,67 years and older,10%,36600
1995,Women,75 years and older,10%,31000
1995,Women,Total,20%,46700
1995,Women,16 - 24 years,20%,25000
1995,Women,16 - 64 years,20%,44900
1995,Women,16 - 74 years,20%,46200
1995,Women,18 - 66 years,20%,50700
1995,Women,25 - 54 years,20%,59200
1995,Women,25 - 64 years,20%,59100
1995,Women,25 - 74 years,20%,57600
1995,Women,55 - 74 years,20%,55100
1995,Women,67 years and older,20%,51900
1995,Women,75 years and older,20%,51100
1995,Women,Total,30%,61900
1995,Women,16 - 24 years,30%,33900
1995,Women,16 - 64 years,30%,61900
1995,Women,16 - 74 years,30%,61800
1995,Women,18 - 66 years,30%,66200
1995,Women,25 - 54 years,30%,73900
1995,Women,25 - 64 years,30%,73500
1995,Women,25 - 74 years,30%,71600
1995,Women,55 - 74 years,30%,66400
1995,Women,67 years and older,30%,61500
1995,Women,75 years and older,30%,62000
1995,Women,Total,40%,73700
1995,Women,16 - 24 years,40%,42400
1995,Women,16 - 64 years,40%,74500
1995,Women,16 - 74 years,40%,74100
1995,Women,18 - 66 years,40%,78000
1995,Women,25 - 54 years,40%,87200
1995,Women,25 - 64 years,40%,86400
1995,Women,25 - 74 years,40%,83900
1995,Women,55 - 74 years,40%,76800
1995,Women,67 years and older,40%,70700
1995,Women,75 years and older,40%,71200
1995,Women,Total,50%,85000
1995,Women,16 - 24 years,50%,52400
1995,Women,16 - 64 years,50%,87500
1995,Women,16 - 74 years,50%,86400
1995,Women,18 - 66 years,50%,90500
1995,Women,25 - 54 years,50%,100600
1995,Women,25 - 64 years,50%,99500
1995,Women,25 - 74 years,50%,96200
1995,Women,55 - 74 years,50%,86800
1995,Women,67 years and older,50%,78300
1995,Women,75 years and older,50%,77800
1995,Women,Total,60%,97800
1995,Women,16 - 24 years,60%,62700
1995,Women,16 - 64 years,60%,101600
1995,Women,16 - 74 years,60%,99900
1995,Women,18 - 66 years,60%,104400
1995,Women,25 - 54 years,60%,115700
1995,Women,25 - 64 years,60%,114000
1995,Women,25 - 74 years,60%,110100
1995,Women,55 - 74 years,60%,97700
1995,Women,67 years and older,60%,84900
1995,Women,75 years and older,60%,82800
1995,Women,Total,70%,113500
1995,Women,16 - 24 years,70%,72300
1995,Women,16 - 64 years,70%,118700
1995,Women,16 - 74 years,70%,116300
1995,Women,18 - 66 years,70%,121500
1995,Women,25 - 54 years,70%,134200
1995,Women,25 - 64 years,70%,132000
1995,Women,25 - 74 years,70%,127500
1995,Women,55 - 74 years,70%,110700
1995,Women,67 years and older,70%,93900
1995,Women,75 years and older,70%,90700
1995,Women,Total,80%,135900
1995,Women,16 - 24 years,80%,84800
1995,Women,16 - 64 years,80%,142500
1995,Women,16 - 74 years,80%,139400
1995,Women,18 - 66 years,80%,145000
1995,Women,25 - 54 years,80%,158400
1995,Women,25 - 64 years,80%,156000
1995,Women,25 - 74 years,80%,151000
1995,Women,55 - 74 years,80%,129700
1995,Women,67 years and older,80%,106200
1995,Women,75 years and older,80%,101500
1995,Women,Total,90%,173500
1995,Women,16 - 24 years,90%,102700
1995,Women,16 - 64 years,90%,180000
1995,Women,16 - 74 years,90%,177000
1995,Women,18 - 66 years,90%,182100
1995,Women,25 - 54 years,90%,195200
1995,Women,25 - 64 years,90%,192600
1995,Women,25 - 74 years,90%,188300
1995,Women,55 - 74 years,90%,164100
1995,Women,67 years and older,90%,126000
1995,Women,75 years and older,90%,119100
1995,Women,Total,95%,209800
1995,Women,16 - 24 years,95%,119700
1995,Women,16 - 64 years,95%,215900
1995,Women,16 - 74 years,95%,213300
1995,Women,18 - 66 years,95%,218100
1995,Women,25 - 54 years,95%,231900
1995,Women,25 - 64 years,95%,229300
1995,Women,25 - 74 years,95%,224700
1995,Women,55 - 74 years,95%,199700
1995,Women,67 years and older,95%,153000
1995,Women,75 years and older,95%,136100
1995,Women,Total,99%,308400
1995,Women,16 - 24 years,99%,159300
1995,Women,16 - 64 years,99%,312000
1995,Women,16 - 74 years,99%,311600
1995,Women,18 - 66 years,99%,314800
1995,Women,25 - 54 years,99%,332600
1995,Women,25 - 64 years,99%,330000
1995,Women,25 - 74 years,99%,326600
1995,Women,55 - 74 years,99%,315800
1995,Women,67 years and older,99%,266000
1995,Women,75 years and older,99%,224300
1995,Women,Total,Mean - conditional,96200
1995,Women,16 - 24 years,Mean - conditional,56800
1995,Women,16 - 64 years,Mean - conditional,98400
1995,Women,16 - 74 years,Mean - conditional,97500
1995,Women,18 - 66 years,Mean - conditional,101800
1995,Women,25 - 54 years,Mean - conditional,111600
1995,Women,25 - 64 years,Mean - conditional,110400
1995,Women,25 - 74 years,Mean - conditional,107700
1995,Women,55 - 74 years,Mean - conditional,97300
1995,Women,67 years and older,Mean - conditional,84400
1995,Women,75 years and older,Mean - conditional,80400
1995,Women,Total,Number - conditional,92248
1995,Women,16 - 24 years,Number - conditional,16935
1995,Women,16 - 64 years,Number - conditional,75975
1995,Women,16 - 74 years,Number - conditional,84907
1995,Women,18 - 66 years,Number - conditional,74197
1995,Women,25 - 54 years,Number - conditional,49390
1995,Women,25 - 64 years,Number - conditional,59040
1995,Women,25 - 74 years,Number - conditional,67972
1995,Women,55 - 74 years,Number - conditional,18582
1995,Women,67 years and older,Number - conditional,14220
1995,Women,75 years and older,Number - conditional,7341
1996,Total,Total,10%,37100
1996,Total,16 - 24 years,10%,17700
1996,Total,16 - 64 years,10%,35200
1996,Total,16 - 74 years,10%,36800
1996,Total,18 - 66 years,10%,44200
1996,Total,25 - 54 years,10%,56000
1996,Total,25 - 64 years,10%,56000
1996,Total,25 - 74 years,10%,54800
1996,Total,55 - 74 years,10%,52500
1996,Total,67 years and older,10%,47900
1996,Total,75 years and older,10%,44500
1996,Total,Total,20%,61700
1996,Total,16 - 24 years,20%,29500
1996,Total,16 - 64 years,20%,61200
1996,Total,16 - 74 years,20%,61800
1996,Total,18 - 66 years,20%,68400
1996,Total,25 - 54 years,20%,79600
1996,Total,25 - 64 years,20%,78900
1996,Total,25 - 74 years,20%,76400
1996,Total,55 - 74 years,20%,70400
1996,Total,67 years and older,20%,62800
1996,Total,75 years and older,20%,60800
1996,Total,Total,30%,77500
1996,Total,16 - 24 years,30%,40000
1996,Total,16 - 64 years,30%,78700
1996,Total,16 - 74 years,30%,78500
1996,Total,18 - 66 years,30%,85100
1996,Total,25 - 54 years,30%,99700
1996,Total,25 - 64 years,30%,98400
1996,Total,25 - 74 years,30%,94100
1996,Total,55 - 74 years,30%,83400
1996,Total,67 years and older,30%,73200
1996,Total,75 years and older,30%,71300
1996,Total,Total,40%,93000
1996,Total,16 - 24 years,40%,51000
1996,Total,16 - 64 years,40%,97500
1996,Total,16 - 74 years,40%,95900
1996,Total,18 - 66 years,40%,103500
1996,Total,25 - 54 years,40%,121700
1996,Total,25 - 64 years,40%,119500
1996,Total,25 - 74 years,40%,112900
1996,Total,55 - 74 years,40%,96700
1996,Total,67 years and older,40%,81700
1996,Total,75 years and older,40%,78800
1996,Total,Total,50%,111300
1996,Total,16 - 24 years,50%,62400
1996,Total,16 - 64 years,50%,119200
1996,Total,16 - 74 years,50%,116000
1996,Total,18 - 66 years,50%,125200
1996,Total,25 - 54 years,50%,146000
1996,Total,25 - 64 years,50%,143200
1996,Total,25 - 74 years,50%,135600
1996,Total,55 - 74 years,50%,111900
1996,Total,67 years and older,50%,89300
1996,Total,75 years and older,50%,84300
1996,Total,Total,60%,135200
1996,Total,16 - 24 years,60%,72700
1996,Total,16 - 64 years,60%,145400
1996,Total,16 - 74 years,60%,141200
1996,Total,18 - 66 years,60%,151100
1996,Total,25 - 54 years,60%,173200
1996,Total,25 - 64 years,60%,170200
1996,Total,25 - 74 years,60%,162300
1996,Total,55 - 74 years,60%,132000
1996,Total,67 years and older,60%,98300
1996,Total,75 years and older,60%,91600
1996,Total,Total,70%,167000
1996,Total,16 - 24 years,70%,86700
1996,Total,16 - 64 years,70%,178100
1996,Total,16 - 74 years,70%,173300
1996,Total,18 - 66 years,70%,183500
1996,Total,25 - 54 years,70%,206100
1996,Total,25 - 64 years,70%,202600
1996,Total,25 - 74 years,70%,194900
1996,Total,55 - 74 years,70%,160000
1996,Total,67 years and older,70%,111100
1996,Total,75 years and older,70%,100700
1996,Total,Total,80%,210200
1996,Total,16 - 24 years,80%,106300
1996,Total,16 - 64 years,80%,221900
1996,Total,16 - 74 years,80%,216700
1996,Total,18 - 66 years,80%,227000
1996,Total,25 - 54 years,80%,250500
1996,Total,25 - 64 years,80%,247000
1996,Total,25 - 74 years,80%,238600
1996,Total,55 - 74 years,80%,199800
1996,Total,67 years and older,80%,131400
1996,Total,75 years and older,80%,115900
1996,Total,Total,90%,284200
1996,Total,16 - 24 years,90%,139000
1996,Total,16 - 64 years,90%,296100
1996,Total,16 - 74 years,90%,291100
1996,Total,18 - 66 years,90%,301300
1996,Total,25 - 54 years,90%,327200
1996,Total,25 - 64 years,90%,323600
1996,Total,25 - 74 years,90%,314400
1996,Total,55 - 74 years,90%,271000
1996,Total,67 years and older,90%,179900
1996,Total,75 years and older,90%,139000
1996,Total,Total,95%,365500
1996,Total,16 - 24 years,95%,174200
1996,Total,16 - 64 years,95%,377600
1996,Total,16 - 74 years,95%,372800
1996,Total,18 - 66 years,95%,382900
1996,Total,25 - 54 years,95%,407500
1996,Total,25 - 64 years,95%,406500
1996,Total,25 - 74 years,95%,397600
1996,Total,55 - 74 years,95%,358600
1996,Total,67 years and older,95%,244800
1996,Total,75 years and older,95%,174300
1996,Total,Total,99%,583000
1996,Total,16 - 24 years,99%,284900
1996,Total,16 - 64 years,99%,590100
1996,Total,16 - 74 years,99%,589800
1996,Total,18 - 66 years,99%,599200
1996,Total,25 - 54 years,99%,618800
1996,Total,25 - 64 years,99%,628700
1996,Total,25 - 74 years,99%,624800
1996,Total,55 - 74 years,99%,644900
1996,Total,67 years and older,99%,489600
1996,Total,75 years and older,99%,369600
1996,Total,Total,Mean - conditional,144900
1996,Total,16 - 24 years,Mean - conditional,73300
1996,Total,16 - 64 years,Mean - conditional,150700
1996,Total,16 - 74 years,Mean - conditional,148500
1996,Total,18 - 66 years,Mean - conditional,156900
1996,Total,25 - 54 years,Mean - conditional,175000
1996,Total,25 - 64 years,Mean - conditional,173300
1996,Total,25 - 74 years,Mean - conditional,167700
1996,Total,55 - 74 years,Mean - conditional,147400
1996,Total,67 years and older,Mean - conditional,110500
1996,Total,75 years and older,Mean - conditional,96400
1996,Total,Total,Number - conditional,182878
1996,Total,16 - 24 years,Number - conditional,34513
1996,Total,16 - 64 years,Number - conditional,152887
1996,Total,16 - 74 years,Number - conditional,170100
1996,Total,18 - 66 years,Number - conditional,148634
1996,Total,25 - 54 years,Number - conditional,99513
1996,Total,25 - 64 years,Number - conditional,118374
1996,Total,25 - 74 years,Number - conditional,135587
1996,Total,55 - 74 years,Number - conditional,36074
1996,Total,67 years and older,Number - conditional,25964
1996,Total,75 years and older,Number - conditional,12778
1996,Men,Total,10%,51300
1996,Men,16 - 24 years,10%,18800
1996,Men,16 - 64 years,10%,48100
1996,Men,16 - 74 years,10%,50600
1996,Men,18 - 66 years,10%,62000
1996,Men,25 - 54 years,10%,79100
1996,Men,25 - 64 years,10%,78300
1996,Men,25 - 74 years,10%,76000
1996,Men,55 - 74 years,10%,70900
1996,Men,67 years and older,10%,63200
1996,Men,75 years and older,10%,58200
1996,Men,Total,20%,75900
1996,Men,16 - 24 years,20%,31700
1996,Men,16 - 64 years,20%,76100
1996,Men,16 - 74 years,20%,77100
1996,Men,18 - 66 years,20%,86900
1996,Men,25 - 54 years,20%,114800
1996,Men,25 - 64 years,20%,112200
1996,Men,25 - 74 years,20%,103300
1996,Men,55 - 74 years,20%,87800
1996,Men,67 years and older,20%,74100
1996,Men,75 years and older,20%,69800
1996,Men,Total,30%,97200
1996,Men,16 - 24 years,30%,44000
1996,Men,16 - 64 years,30%,104700
1996,Men,16 - 74 years,30%,102000
1996,Men,18 - 66 years,30%,116300
1996,Men,25 - 54 years,30%,146800
1996,Men,25 - 64 years,30%,143800
1996,Men,25 - 74 years,30%,133500
1996,Men,55 - 74 years,30%,105500
1996,Men,67 years and older,30%,82600
1996,Men,75 years and older,30%,76800
1996,Men,Total,40%,124900
1996,Men,16 - 24 years,40%,56600
1996,Men,16 - 64 years,40%,136000
1996,Men,16 - 74 years,40%,131500
1996,Men,18 - 66 years,40%,145600
1996,Men,25 - 54 years,40%,175100
1996,Men,25 - 64 years,40%,171600
1996,Men,25 - 74 years,40%,162100
1996,Men,55 - 74 years,40%,127600
1996,Men,67 years and older,40%,91100
1996,Men,75 years and older,40%,83100
1996,Men,Total,50%,154200
1996,Men,16 - 24 years,50%,69400
1996,Men,16 - 64 years,50%,167000
1996,Men,16 - 74 years,50%,161700
1996,Men,18 - 66 years,50%,174700
1996,Men,25 - 54 years,50%,202900
1996,Men,25 - 64 years,50%,199100
1996,Men,25 - 74 years,50%,190100
1996,Men,55 - 74 years,50%,152500
1996,Men,67 years and older,50%,100300
1996,Men,75 years and older,50%,90100
1996,Men,Total,60%,187000
1996,Men,16 - 24 years,60%,82600
1996,Men,16 - 64 years,60%,199000
1996,Men,16 - 74 years,60%,193800
1996,Men,18 - 66 years,60%,205800
1996,Men,25 - 54 years,60%,232500
1996,Men,25 - 64 years,60%,228800
1996,Men,25 - 74 years,60%,220000
1996,Men,55 - 74 years,60%,180700
1996,Men,67 years and older,60%,114900
1996,Men,75 years and older,60%,97800
1996,Men,Total,70%,224100
1996,Men,16 - 24 years,70%,102400
1996,Men,16 - 64 years,70%,235700
1996,Men,16 - 74 years,70%,230300
1996,Men,18 - 66 years,70%,242000
1996,Men,25 - 54 years,70%,267500
1996,Men,25 - 64 years,70%,263800
1996,Men,25 - 74 years,70%,255200
1996,Men,55 - 74 years,70%,212500
1996,Men,67 years and older,70%,134000
1996,Men,75 years and older,70%,110400
1996,Men,Total,80%,272200
1996,Men,16 - 24 years,80%,128000
1996,Men,16 - 64 years,80%,283500
1996,Men,16 - 74 years,80%,278200
1996,Men,18 - 66 years,80%,289500
1996,Men,25 - 54 years,80%,316100
1996,Men,25 - 64 years,80%,312700
1996,Men,25 - 74 years,80%,303600
1996,Men,55 - 74 years,80%,260100
1996,Men,67 years and older,80%,166600
1996,Men,75 years and older,80%,129500
1996,Men,Total,90%,357200
1996,Men,16 - 24 years,90%,168700
1996,Men,16 - 64 years,90%,368700
1996,Men,16 - 74 years,90%,363700
1996,Men,18 - 66 years,90%,374800
1996,Men,25 - 54 years,90%,399400
1996,Men,25 - 64 years,90%,397900
1996,Men,25 - 74 years,90%,390200
1996,Men,55 - 74 years,90%,350200
1996,Men,67 years and older,90%,233700
1996,Men,75 years and older,90%,160500
1996,Men,Total,95%,443800
1996,Men,16 - 24 years,95%,212500
1996,Men,16 - 64 years,95%,454900
1996,Men,16 - 74 years,95%,450500
1996,Men,18 - 66 years,95%,461000
1996,Men,25 - 54 years,95%,483200
1996,Men,25 - 64 years,95%,486500
1996,Men,25 - 74 years,95%,479100
1996,Men,55 - 74 years,95%,461100
1996,Men,67 years and older,95%,315000
